,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,Old Norwegian Homily Book-AM 619 4to,The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,Barlaams ok Josaphats saga-Holm perg 6 fol,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,Strengleikar-DG 4–7,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfrear saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Thómass saga erkibiskups-Holm perg 17 4to,Legenden om Barlaam och Josaphat-Holm A 49,Codex Runicus-AM 28 8vo,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Thómass saga erkibyskups-NRA norr fragm 66,A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"Various texts, including Eufemiavisorna-Holm D 4","A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),Fstbrra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Konungs skuggsjá-AM 243 bα fol,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,Virgin Mary’s complaint-SKB A 120,Óláfs saga ins helga (legendary version)-DG 8 II,Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Vga-Glms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,3.141931159689193e-14,0.4219453338742385,0.4762818590709784,0.587766242496513,0.5062207868592936,0.5293340120545251,0.7270857856184929,0.5840207016947875,0.46549722712663777,0.4919140308630461,0.7317447094098808,0.476560871307523,0.7236867735859069,0.5957271319406412,0.5171002666323629,0.4274799924540592,0.7086621313921214,0.46019503820304164,0.7691359322369312,0.8704691129697233,0.5200237461800097,0.6619598158925639,0.4806466884903168,0.6337929589151183,0.4416270385779658,0.5242015743834527,0.6962144008633151,0.7029188169777075,0.624709690082971,0.574242983790686,0.8196859310476495,0.4752499516530534,0.6252671238424281,0.5502433998283178,0.9195796731564726,0.9401046044786419,0.6704811009506418,1.0,0.7243322525756843,0.8136601727801195,0.48795729501855345,0.9407474332853537,0.7621211393152468,0.6639182257662006,0.9992583420164122,0.7222834029896446,0.6606634038941506,0.6184609754463462,0.6368604400716643,0.8256593979832703,0.6028269997409219,0.5871903766218837,0.872309900430545,0.6468977303007657,0.4842909542620095,0.40576273224898196,0.4467216267024283,0.7345817697353101,0.7688442541767406,0.4703461635595936,0.542402308020907,0.5105863437444409,0.9474822255177124,0.4859397731768027,0.4121591944754528,0.6240407837773967,0.6506068609538231,0.5713948151607837,0.6905052104830378
Breta sǫgur-AM 573 4to,0.4219453338742385,2.9976021664879227e-14,0.3774560942096383,0.5304367143247478,0.45086074989879366,0.45667128745138763,0.6803341669783638,0.5354616837495436,0.30307966479171666,0.3339956162045289,0.664504054658749,0.4111687917225244,0.6463924698467018,0.49459560782529977,0.40004147599468076,0.24401865344685525,0.6475173563494103,0.2924445993214374,0.7128473697611396,0.8270574055353509,0.4353219711877587,0.5601931740302717,0.37143282654768117,0.5908712776426523,0.2765308096274659,0.3828984763660809,0.5961610794286984,0.6201625145392528,0.5214423337989347,0.46365124285204773,0.7705919129593248,0.3171501173113771,0.550609778613769,0.3841376256171267,0.8939128278018429,0.9216169946208161,0.6139512049150959,1.0,0.6434419699746117,0.7800286913056981,0.3697840565062511,0.9220680236442864,0.6837907162418255,0.5811557083594768,0.9991467745798565,0.6360976727386671,0.5940957280822745,0.550263458479338,0.5742613345779464,0.7848334164969843,0.4912972510879702,0.45810046780294944,0.8287012269499145,0.5370011676759587,0.3084615526211033,0.25503398057391624,0.2520847357782774,0.6654880216318493,0.6941235555169301,0.2985969898861338,0.4038597015530092,0.3986902551677234,0.9305908036044641,0.32938009031592674,0.2931791390876456,0.6127359451910616,0.5212252306090887,0.5029490596914542,0.6577585242906623
Karls þáttr vesæla-AM 557 4to,0.4762818590709784,0.3774560942096383,2.1760371282653068e-14,0.5440922336412944,0.49320626426122993,0.47858390021856767,0.732695011709574,0.5719980142625424,0.4193267150129196,0.42430356309441153,0.7043888566066595,0.4563811821267123,0.6769293071579706,0.5403052958886416,0.46171168206876767,0.3822107412422633,0.6646157538004411,0.44845567586691704,0.7715766784723435,0.8470803817809947,0.5164420534138139,0.6180457255872946,0.44642603644754086,0.6302784826286559,0.40252823023795936,0.47041339971964446,0.6708899952888436,0.6628719148174151,0.6040346369065621,0.5175955127617167,0.8102406580332139,0.40755234535277163,0.5873390958125421,0.5000462331452662,0.92241278094717,0.9421474094250946,0.6782087150666374,1.0,0.6995722307418775,0.7916665244596225,0.45462030143029886,0.9411039729746078,0.7323896758325605,0.660324644758749,0.9987059871015664,0.6814918999225554,0.6389985430958993,0.6264062374688989,0.637303466194274,0.8172468483924724,0.5791651791912946,0.5551953092044337,0.8709414804830548,0.6009510415272903,0.4525905227703383,0.3559879082202808,0.3751315603400788,0.6978639965385095,0.7515270895642223,0.4440715930062391,0.46712266785409085,0.46044138215863295,0.9497326512185911,0.4275652757628269,0.3817612176566464,0.5608912262259855,0.6115837549344596,0.569916405829929,0.6833748369675153
Hróa þáttr heimska-AM 557 4to,0.587766242496513,0.5304367143247478,0.5440922336412944,6.661338147750939e-16,0.6103381733573403,0.5784021984604089,0.7759610168494033,0.6401688057974619,0.5614136218780872,0.5721051514832758,0.7840729856456301,0.579788858299298,0.7769415676789101,0.6569939439611185,0.6157266983338341,0.5344969680108533,0.7671305050430368,0.5529053727543234,0.8293741140751719,0.891006314092081,0.6461668446104031,0.7265821655912698,0.5663231533292722,0.6893656923304445,0.5580060945736747,0.6026309972079309,0.7770843045627274,0.7653908119088887,0.69889457837519,0.6347737477950217,0.8484508129589629,0.5540779133000167,0.6968185130477018,0.6199703355276973,0.946016377130321,0.959379847227211,0.7168188139765197,1.0,0.7782664584054089,0.8301434390378711,0.5858729969134602,0.9585105137455241,0.7964425529245704,0.7190461139068887,0.999287571510944,0.7553175969445243,0.7234838195037951,0.6826728846642154,0.7006783314739643,0.8546962855692739,0.668901443615014,0.6718250679254671,0.9072674576281199,0.7033044119791712,0.5841878818900319,0.522872701397421,0.5338887864459809,0.762644988293259,0.8167106752287521,0.5706256264453353,0.6179800388581761,0.5755390148582716,0.9652245810373008,0.5787263453109184,0.5432273619307952,0.6589376642975517,0.7182840126600781,0.6331244476478897,0.7292299313797141
Theta-fragment of Egils saga-AM 162 A θ fol.,0.5062207868592936,0.45086074989879366,0.49320626426122993,0.6103381733573403,2.7200464103316335e-14,0.5329196020649948,0.7705753192130564,0.6085574755085099,0.5072723250775603,0.4869918611676157,0.7430449824535332,0.5246369118856573,0.7426425906569891,0.6113203674183438,0.5475026477065317,0.4496481902432602,0.7212229395510958,0.503164945305669,0.7978177923764442,0.8655293033844285,0.5748885564257106,0.6571747915424596,0.5322075923873513,0.695247967620616,0.46375608775313326,0.5307925983762349,0.7084489711461847,0.7146881092365924,0.652564524921678,0.5582884818057514,0.8251625239704776,0.4689250075657677,0.6462240527496781,0.5557570028570938,0.9379325332790711,0.9525522701202512,0.7242490078171735,1.0,0.7391262834269554,0.8080373049752427,0.40448320844919194,0.9525443071571995,0.7473489723932222,0.6826974187639993,0.9994634403364664,0.7280165399173762,0.6904991800258403,0.6829969156492132,0.6919592044749421,0.8446386766889644,0.6355168690201338,0.6126184984887538,0.8878915455768893,0.6339629509504632,0.5121356105771069,0.33800320952228013,0.43127916797947874,0.7150560723302193,0.783580890879867,0.5033220048553719,0.5139037224459568,0.539312580460813,0.9595329222298276,0.5103571958802002,0.44234312655954056,0.6578398176209603,0.655259901288306,0.6333962558219279,0.7258514184424796
Pamphilus saga-DG 4-7,0.5293340120545251,0.45667128745138763,0.47858390021856767,0.5784021984604089,0.5329196020649948,0.0,0.7589013686498264,0.5968316483709386,0.4825641479233034,0.44907451250138886,0.7721568334653977,0.5348219438568956,0.7611086301535938,0.5836511068704707,0.5874415761986574,0.4100322414376779,0.7567727089809214,0.46570088594206216,0.8211073474578072,0.8810172805566716,0.6093917942245243,0.6807990820573226,0.5465983251818542,0.6699110080952906,0.5421967279062783,0.5791233835377159,0.7124851199992821,0.7526340765439755,0.6506178368859515,0.5735324757170305,0.810707049636268,0.5271982768868876,0.6499179851667075,0.586768280704163,0.9254165421170127,0.945079096247748,0.7130115434437967,1.0,0.6984530784793446,0.755970910441465,0.5642551353392883,0.945278013446355,0.7536228854136076,0.6588906003836315,0.9996668579955571,0.7377741762199415,0.6702296917644147,0.6651338806952581,0.6730365805992558,0.8346107807127168,0.6258521838425786,0.6107881003775472,0.8776743194602199,0.6359745557096682,0.4981964416552379,0.4697771911229457,0.4516646293971702,0.6729300816250596,0.7801156428786196,0.5176520688005786,0.5357713705957483,0.5415388532020746,0.9510883977983946,0.5372098947650551,0.4731086095051986,0.6199304642894036,0.6458684542430997,0.6053099888399214,0.7075510978337063
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.7270857856184929,0.6803341669783638,0.732695011709574,0.7759610168494033,0.7705753192130564,0.7589013686498264,0.0,0.5319983868584217,0.7008493563146465,0.7414527286141568,0.8470505820406677,0.7407678502640083,0.840381620447394,0.7871940992081774,0.7526689720666961,0.6953760090979795,0.8504682342024315,0.6860469615012288,0.8757608222092099,0.9391000237878759,0.7589940292331483,0.8456082154309991,0.7148868828651481,0.579619166084602,0.6886302905260285,0.7500968808644878,0.8574056303054364,0.8427302109893264,0.7899105605491498,0.7895432993537106,0.8978041338948991,0.7316613502422235,0.8100321835203487,0.7630541322752613,0.9357072840418754,0.953036584088638,0.6073349298651843,1.0,0.8508257663186196,0.9116561080563482,0.73070757909258,0.9509016727795424,0.8914087473114964,0.825384175005514,0.9989597371113206,0.8453213632317531,0.817007032403779,0.5391168677356963,0.5843515622660012,0.9016697077062311,0.7797433244414491,0.7644258439629718,0.923253493813084,0.8272751406818564,0.7214367033006417,0.689542454362682,0.7115427643674761,0.8770351749188297,0.8721949279132907,0.6995111741178701,0.7918026648158475,0.7320147450414591,0.9564734220636325,0.7191181186114127,0.6925962533886877,0.8194096797491346,0.817824841321686,0.5092018210438403,0.6452565773423425
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.5840207016947875,0.5354616837495436,0.5719980142625424,0.6401688057974619,0.6085574755085099,0.5968316483709386,0.5319983868584217,3.341771304121721e-14,0.5654562929810836,0.5976334859081018,0.768053775617486,0.5957712432788145,0.7664510244530167,0.6844056984786078,0.6346644859809023,0.5513578384059515,0.7741056064572701,0.5633245576836385,0.8264089801767611,0.9001439981333017,0.6447557192256688,0.777166995629847,0.5744601013684909,0.4214173655869736,0.5514903886950404,0.6376627975740146,0.8046572732590194,0.7653274682295508,0.6852390915127635,0.6458186078790118,0.8531785230053651,0.6016326862585195,0.7147574225415856,0.644151163851394,0.9158912140622251,0.9371074082906653,0.46817844571213607,1.0,0.7802650941149532,0.8531564363719413,0.5734177952876072,0.935445696125139,0.8252992362687146,0.7488311356992167,0.9988156212386291,0.7625301796000503,0.7267900259176555,0.33834612944365805,0.3846119199009169,0.8575450555356574,0.6687901419948696,0.6627470683437557,0.8885012473809358,0.7262736104147501,0.596289859280327,0.5179850074728938,0.5537110243368171,0.7966827763191161,0.8095049545863302,0.5653598906888169,0.6656787179698446,0.5819578814494635,0.9430000763401336,0.5885107965505312,0.5516162848390489,0.69409127556925,0.7324946909665861,0.26427802973194503,0.4239429563420847
Þiðriks saga af Bern (medieval text)-Holm perg 4 fol,0.46549722712663777,0.30307966479171666,0.4193267150129196,0.5614136218780872,0.5072723250775603,0.4825641479233034,0.7008493563146465,0.5654562929810836,3.0586644328423063e-13,0.42346324934054125,0.6807825506128975,0.4648059038019954,0.664739053138561,0.5226955187328198,0.43261832836851755,0.23322952398910846,0.6725302112333138,0.2074232503155552,0.7343563793637526,0.8558567999301627,0.5087184107673449,0.6111166851774239,0.42000396038846743,0.6059420337623852,0.3465413497523765,0.4430542628323184,0.640852665301649,0.6497863739879624,0.5581568649202038,0.5302722169793381,0.7548068944273241,0.3838075835511848,0.5951832956527983,0.3074648159527029,0.8886027484170997,0.9224653663549134,0.6406748486466951,1.0,0.6697042973770961,0.7959755543429271,0.44205786753272525,0.9126237220447242,0.7329461911070396,0.6109239407126156,0.9992783463806441,0.6643856885492843,0.6074795004337512,0.5784710813278756,0.6025114161724363,0.7967715960771355,0.5286886491582086,0.4932138522767322,0.8445019164891503,0.5070610998889731,0.37833839658529556,0.31638906772768205,0.32453517414985544,0.6977196794046723,0.7238245867913453,0.3851013445884923,0.4858159945361612,0.4506085257270098,0.930891517866378,0.22368607917578454,0.3736807043577698,0.6144401159527018,0.5854449136132907,0.533880211822736,0.6839481156586981
Old Norwegian Homily Book-AM 619 4to,0.4919140308630461,0.3339956162045289,0.42430356309441153,0.5721051514832758,0.4869918611676157,0.44907451250138886,0.7414527286141568,0.5976334859081018,0.42346324934054125,0.0,0.7317646553099697,0.4665735761706433,0.7012416801030262,0.5646645516013,0.4829527175929027,0.2754038487294683,0.6937902129283564,0.4016910784140586,0.7507411079283366,0.7855091241092814,0.47442721895848905,0.5593996429423003,0.46832937176919176,0.6677333585879976,0.3878836467560419,0.4083052253350835,0.6086117945005574,0.6581474701665175,0.5781667944453884,0.41546970937216865,0.7883900995699262,0.3313652374406971,0.5501855898249013,0.4259845883461214,0.920804659578027,0.9407232342704679,0.687329443096429,1.0,0.6477976679164221,0.7655078701479852,0.44020568905498814,0.9413729035767433,0.6546875537869745,0.6366866104224217,0.9995340085609551,0.6875344090946228,0.6543777365978827,0.6379176539259833,0.64183750111049,0.8177379643005284,0.5567266591216765,0.5284500721562229,0.8295711771739553,0.5369218621079417,0.4182994664426416,0.352309566977009,0.2982319401279365,0.622028769043012,0.7045851926180974,0.35405748808150306,0.39829286650506446,0.46402710245705137,0.9490369169080088,0.40696083213929457,0.3642445814005132,0.6277523473620785,0.5405473230646278,0.5839755270202491,0.6932377509209403
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,0.7317447094098808,0.664504054658749,0.7043888566066595,0.7840729856456301,0.7430449824535332,0.7721568334653977,0.8470505820406677,0.768053775617486,0.6807825506128975,0.7317646553099697,9.992007221626409e-16,0.7346547186492485,0.8315398892152823,0.7850143826563981,0.7038664629751187,0.681960753802886,0.8057830696436308,0.7065553822119628,0.8623281527872876,0.9287575110419704,0.7582659092145596,0.8237343938858426,0.7170507751068824,0.7891520095032538,0.6499917067410744,0.7280485307496036,0.8487238301473354,0.8075780682585795,0.782535838812633,0.7746955431032504,0.9026589035923713,0.6971975670999646,0.8072277948168392,0.7399678311393105,0.9550922602224642,0.9656652592705899,0.7901759050000887,1.0,0.8490389417913118,0.90613560247789,0.7202093532879703,0.9656151731400872,0.8717187108334998,0.813488190880063,0.9991451879222999,0.8308893374559002,0.788158769381473,0.7808456852642518,0.7931434805314868,0.9001153469165493,0.770613103379758,0.7562772539744288,0.9289797020388297,0.8076338839368999,0.7151656281685124,0.6278779684836824,0.6654599491515765,0.8633677619983536,0.8764785146871228,0.7038459621608794,0.7580101015856469,0.7153727535838506,0.9709566975351848,0.6431708536284576,0.7052024581658605,0.7925384381458387,0.8095888275968625,0.7595662565335608,0.8267411228225164
Hallfreðr saga vandraskald-AM 557 4to,0.476560871307523,0.4111687917225244,0.4563811821267123,0.579788858299298,0.5246369118856573,0.5348219438568956,0.7407678502640083,0.5957712432788145,0.4648059038019954,0.4665735761706433,0.7346547186492485,0.0,0.7184069449721744,0.5954380991057305,0.5014164605435341,0.4231087477737795,0.6990722982881056,0.45837994258707326,0.7739209131373069,0.8632066273000629,0.5382418588625761,0.6468595644986015,0.4707615610908227,0.6323054763323991,0.4271082634675688,0.5016202096153644,0.6864944906919758,0.6917342706301802,0.624116820544475,0.5461731995476478,0.8172290902339004,0.44739117008205176,0.6264537311012848,0.5191904940385053,0.9280205310177876,0.9454273293122316,0.6867590002948352,1.0,0.7305772761599593,0.8110988887714873,0.47101407567109654,0.9456360427005341,0.7437152782426887,0.6576696236725621,0.9991885160912367,0.7054997408477335,0.6657686643750182,0.6301457639265233,0.6497727866837513,0.8313457390523603,0.604446705254146,0.5907836196180563,0.881419548728785,0.6256543502298372,0.47891375905447053,0.39224623255315993,0.4111486483417076,0.7157634980821305,0.7661250088442704,0.4630894396806208,0.5148995843788056,0.4995901169650405,0.9533277356261266,0.4705700482363572,0.4203622051552911,0.6207847683957426,0.6394994498887316,0.5781257463223378,0.6954573007502615
Sveinka þáttr Steinarssonar-AM 557 4to,0.7236867735859069,0.6463924698467018,0.6769293071579706,0.7769415676789101,0.7426425906569891,0.7611086301535938,0.840381620447394,0.7664510244530167,0.664739053138561,0.7012416801030262,0.8315398892152823,0.7184069449721744,2.9976021664879227e-15,0.777667488689221,0.7097200424243792,0.6570156830892097,0.8040216635207559,0.686972062184759,0.8566521587297128,0.9269768729040956,0.7366184578345687,0.8207547229163372,0.6876697210076577,0.788371082055248,0.6544955884679382,0.7184442889707291,0.8292857347489997,0.793747178157312,0.7705278943034161,0.7636490200827717,0.9044118126343366,0.6811940300229864,0.7885703592223,0.7185485039877072,0.9437660183766312,0.9576522844670444,0.809443667000309,1.0,0.8287603569622345,0.9030571112170352,0.7172463693679287,0.9588857014773748,0.8731533869806247,0.8104413587730865,0.9998935179324718,0.8171264237759327,0.8045768732424727,0.7741120233627942,0.7860338641671443,0.8962813694549884,0.7714700423699951,0.7488529353417528,0.9187498780758814,0.7982609369616418,0.7044503770009927,0.6526041251462298,0.6630277460455272,0.8639215876330912,0.8526421062843891,0.6810491541732209,0.7440304471575626,0.7103389883970423,0.963333518421637,0.677333568689001,0.6781584508916876,0.7945307920116603,0.7974016859465518,0.7545523097899831,0.8304735960395232
Valdimars saga-AM 557 4to,0.5957271319406412,0.49459560782529977,0.5403052958886416,0.6569939439611185,0.6113203674183438,0.5836511068704707,0.7871940992081774,0.6844056984786078,0.5226955187328198,0.5646645516013,0.7850143826563981,0.5954380991057305,0.777667488689221,3.4638958368304884e-14,0.5920756748026736,0.5050711273257456,0.7589020120427841,0.5246679075393912,0.8232340604365332,0.8911231458286852,0.6281199491380135,0.6983685757825724,0.5833928317500884,0.7272187053927965,0.5345324360857728,0.5957018505660204,0.7311578820263311,0.7481963059434396,0.6925590197840711,0.6364420991053836,0.8285107930367228,0.5452876206100512,0.6869725589021581,0.6094966995870578,0.9336192297468997,0.9513472339702858,0.7450050434942507,1.0,0.7578897298598845,0.8357689137255646,0.5799307860492465,0.9496974831999648,0.7990237600959713,0.7447076038394305,0.9988817679507506,0.746870031352068,0.7250647452057031,0.7118989775708567,0.7190308681302074,0.8490257482069451,0.6624883516877815,0.6381737134620824,0.8915104780393701,0.6897814962606748,0.5457182779730498,0.5045756967437669,0.509861321766171,0.764757584807997,0.8048443740730311,0.5384977735395368,0.581437895763143,0.584209279619901,0.9574785707502951,0.5593806332938809,0.5068656312846276,0.6997083957543626,0.6896338341833436,0.678627365890409,0.770545063724875
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,0.5171002666323629,0.40004147599468076,0.46171168206876767,0.6157266983338341,0.5475026477065317,0.5874415761986574,0.7526689720666961,0.6346644859809023,0.43261832836851755,0.4829527175929027,0.7038664629751187,0.5014164605435341,0.7097200424243792,0.5920756748026736,1.1546319456101628e-14,0.4071999397936955,0.6755153494147241,0.46209348303776987,0.7384085854193778,0.860242785619173,0.536072481987363,0.6146041939988371,0.46165154244279305,0.6704888303079697,0.39607981949963456,0.49361848438478206,0.6688981112713999,0.6635938169003259,0.6127858916232247,0.5624054425972858,0.8237764703382054,0.4396526006803466,0.6234370273609188,0.5089056103457593,0.9233099052034959,0.9437367782194226,0.7001839866855295,1.0,0.7009712344145425,0.8076723345754723,0.47533142649808147,0.9437391554298518,0.724405867400583,0.6537946392172339,0.9988393959825628,0.6927486959200675,0.6297088915924334,0.6523070469722134,0.6685474697808631,0.7932727931056185,0.553308983197202,0.5228485209760131,0.8702072688979012,0.6339208758796127,0.46570993872477684,0.37589484395305883,0.40418496005206395,0.7230077897881173,0.7592598697793037,0.458381488909295,0.49773336651324696,0.5063512954619029,0.9498421321408619,0.42738972853465373,0.4282166586210647,0.6612578338796744,0.6328101096841557,0.6129714385895106,0.734316558977903
Barlaams ok Josaphats saga-Holm perg 6 fol,0.4274799924540592,0.24401865344685525,0.3822107412422633,0.5344969680108533,0.4496481902432602,0.4100322414376779,0.6953760090979795,0.5513578384059515,0.23322952398910846,0.2754038487294683,0.681960753802886,0.4231087477737795,0.6570156830892097,0.5050711273257456,0.4071999397936955,1.8829382497642655e-13,0.6587397926779284,0.20857010041950352,0.7110313142582577,0.8140415138490187,0.4398348439855274,0.5399947308847187,0.38897978687692203,0.6046236298308223,0.3084498338090649,0.38015360732645875,0.5794905062548705,0.6347647744265021,0.5087822541313345,0.4333763334291424,0.7497685396064246,0.3108946579255235,0.5371630837512238,0.27411371121952166,0.8829626545421672,0.9156827754177446,0.6317559437093339,1.0,0.5969687848582834,0.7515993884267801,0.3951230490905119,0.9128077345841638,0.6663239512721054,0.5702382498263712,0.999719598329088,0.6446299962112481,0.5884692066072157,0.5671460898968819,0.5922596830190316,0.7831147194214519,0.4878612134404502,0.4473980078177051,0.8125035842179303,0.4563098982921162,0.324428623187932,0.2651559541388151,0.2578479373528302,0.6266220993014354,0.6815693525094753,0.3029061285701272,0.3892593697078427,0.4234212933363093,0.9251824774247968,0.2486692421846589,0.30552515113855305,0.6208938341133292,0.5076215505863655,0.52272057914676,0.6670198503943796
A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,0.7086621313921214,0.6475173563494103,0.6646157538004411,0.7671305050430368,0.7212229395510958,0.7567727089809214,0.8504682342024315,0.7741056064572701,0.6725302112333138,0.6937902129283564,0.8057830696436308,0.6990722982881056,0.8040216635207559,0.7589020120427841,0.6755153494147241,0.6587397926779284,0.0,0.6842457764753374,0.8410817867782199,0.9160977794338918,0.7205022724305623,0.7814793248743598,0.6845020048514323,0.7945784406322602,0.5545284965895743,0.6995247762602892,0.8077295863769598,0.7715293722883707,0.7719269560314748,0.7296741705475838,0.8928063205915665,0.6567815938157284,0.7742337229466565,0.7076566252114063,0.9607885757082267,0.9709870559043978,0.8192110674064615,1.0,0.8351302006102945,0.8921740532531749,0.6849875285989828,0.9704101517314518,0.8427673158084505,0.8133154081449786,0.9994249590345987,0.8191487037060348,0.7867908676087321,0.786088659677127,0.793918165518028,0.8879529291851701,0.7563209948133754,0.7356344956467108,0.9280697330196788,0.7780386594246833,0.6943729996335963,0.6091364061385309,0.644697804767361,0.8471835673640944,0.8578702053753493,0.6772573091265552,0.7027539012786113,0.6919404287152882,0.9744869480631345,0.6563282177548447,0.6494714165552402,0.7766163591175164,0.7813542114967854,0.7602485846963118,0.8312611199004883
Strengleikar-DG 4–7,0.46019503820304164,0.2924445993214374,0.44845567586691704,0.5529053727543234,0.503164945305669,0.46570088594206216,0.6860469615012288,0.5633245576836385,0.2074232503155552,0.4016910784140586,0.7065553822119628,0.45837994258707326,0.686972062184759,0.5246679075393912,0.46209348303776987,0.20857010041950352,0.6842457764753374,3.426148253993233e-13,0.7269375684708944,0.8501624335499688,0.4954200253969462,0.5925282145108977,0.41024344795928147,0.6039754566578738,0.3394400244341639,0.4467397048624414,0.6390650978749471,0.6761843964152277,0.5518925402988304,0.5160426834871887,0.7333800649487481,0.3837863542640836,0.602721199904388,0.28310617043680386,0.8934771909744121,0.9235013204870096,0.6249870337093738,1.0,0.6690088853120846,0.7707650392560407,0.4166343220538632,0.9189738588866603,0.711650673037332,0.5918994878244174,0.9994540883696706,0.6657278633338377,0.6216113327480337,0.5592455612136723,0.5888946241666981,0.800266941949062,0.5192243771685687,0.49408896969125504,0.845967430951274,0.4932136780073354,0.3797613383926909,0.3269871435234418,0.3254723158922752,0.6807343718540596,0.7219398000933654,0.34414836473869936,0.47101506216606714,0.43519021385207557,0.9322078478444964,0.2382547488962765,0.32858091942705536,0.651303021693229,0.5757364022957936,0.5221788204371081,0.6790009084652238
