,Gunnlaugs saga Ormstungu-AM 557 4to,Breta sǫgur-AM 573 4to,Karls þáttr vesæla-AM 557 4to,Hróa þáttr heimska-AM 557 4to,Old Norwegian Homily Book-AM 619 4to,Theta-fragment of Egils saga-AM 162 A θ fol.,Prosper’s Epigrams-AM 677 4to,Pamphilus saga-DG 4-7,Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,Hallfreðr saga vandraskald-AM 557 4to,Sveinka þáttr Steinarssonar-AM 557 4to,Valdimars saga-AM 557 4to,A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,A fragment of Fagrskinna-NRA norr fragm 51,A fragment of Maríu saga-NRA norr fragm 78,Hrafns saga Sveinbjarnarsonar-AM 557 4to,A fragment of Brendanuss saga-NRA norr fragm 68,Rögnvalldr ok Rauð-AM 557 4to,Hallfreðar saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (149va.32–156rb.10),Codex Frisianus-AM 45 fol.,Gregory’s Homilies on the Gospels-AM 677 4to,Bǿjarlǫg ok Farmannalǫg Magnúss Hákonarsonar | Magnus Lagabøtes bylov og farmannslov-Holm perg 34 4to,"Ór lǽknisbók The fragment is unnamed, but Konráð Gíslason named his edition of the text
                    Úr læknisbók, which is published in Fire og fyrretyve for en stor deel forhen
                    utrykte prøver af oldnordisk sprog og literatur (1860)-AM 655 XXX 4to",A fragment of Hákonar saga Hákonarsonar-NRA norr fragm 55 B,A fragment of Jóns saga helga-NRA norr fragm 57,A fragment of Páls saga postula-NRA norr fragm 80,Völuspá in Codex Regius-GKS 2365 4to,Landslǫg Magnúss Hákonarsonar | Magnus Lagabøtes landslov-Holm perg 34 4to,Eiríks saga víðförla-AM 557 4to,Droplaugasona saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (141va.3–147vb.4),A fragment of Barlaams saga ok Jósafats-NRA norr fragm 64,A fragment of Agǫtu saga-NRA norr fragm 70,Zeta-fragment of Egils saga-AM 162 A ζ fol.,"A fragment of Gregors saga páfa and 
                            Díalógar-NRA norr fragm 71",A fragment of Flóress saga ok Blankiflúr-NRA norr fragm 65,A fragment of Rimbegla-NRA norr fragm 59,A fragment of Njáls saga-AM 162 B α fol,A fragment of Stjórn-NRA norr fragm 60 C,A fragment of Karlamagnúss saga-NRA norr fragm 61,Finnboga saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (100ra.1–114ra.41),De xii abusivis saeculi-AM 677 4to,Fóstbræðra saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (198rb.8–201vb.41),De virtutibus et vitiis-AM 619 4to,A fragment of Stjórn-NRA norr fragm 60 B,A fragment of Karlamagnúss saga-NRA norr fragm 62,A fragment of Karlamagnúss saga-NRA norr fragm 63,A fragment of Stjórn-NRA norr fragm 60 A,Trójumanna saga-AM 573 4to,Egils saga Skalla-Grímssonar in Wolfenbüttelbók-WolfAug 9 10 4to,Alexanders saga-AM 519 a 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 B,A fragment of Konungs skuggsjá-AM 1056 IX 4to,Reynistaðarbók-AM 764 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 C,Dámusta saga-AM 557 4to,A fragment of Konungs skuggsjá-NRA norr fragm 58 A,Two fragments of Njáls saga-AM 162 B θ fol,"De xii abusivis saeculi, Prosper’s Epigrams, Gregory’s Homilies on the Gospels, Gregory’s Dialogues-AM 677 4to",Eiríks saga rauða-AM 557 4to,Stúfs þáttr Kattarsonar-AM 557 4to,A fragment of Konungs skuggsjá-NKS 235 g 4to,Víga-Glúms saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (129rb.8–141va.32),Ölkofra þáttur according to AM 132 fol (Möðruvallabók)-AM 132 fol (147vb.5–149va.31)
Gunnlaugs saga Ormstungu-AM 557 4to,1.709743457922741e-14,0.357499532624442,0.4418560138071853,0.5326622695996543,0.48197283333512475,0.512078368262058,0.5578908136254814,0.4927267530450883,0.5637946269252332,0.4080810044448907,0.5259469857449457,0.5404532235725086,0.45768867341979724,0.6503814351046833,0.5341061569376213,0.4510555831038716,0.6671208761196791,0.6849612858258695,0.5441089847348758,0.43760902256724377,0.6016947191741335,0.4407133982080156,0.4427796530464059,0.3821431099952729,0.5513111155386743,0.5190845365486565,0.6175217433438558,0.6564411138724572,0.5319330736902155,0.5502047116520763,0.7435448941376612,0.48314999047142415,0.5792656511574061,0.4587038509933371,0.6234056739536755,0.7813585826873503,0.4813529856085501,0.7275674337366353,0.5973302354004026,0.6148330547636869,0.5690041834334021,0.6541849371550411,0.5826028243157673,0.4524909869267659,0.7383443809008531,0.46243481126633135,0.48427156560748985,0.729394173444325,0.5316720558404489,0.49663647690514456,0.7955853772188923,0.40729692753429103,0.3577470328740513,0.3764312251668631,0.6772141105106974,0.7055252225131023,0.4550666078753467,0.51755621725307,0.4480407324050959,0.5111694248288918,0.5271589645969552,0.6547679527417536,0.37515806722171097,0.5934818442411266,0.6193181276835105,0.3851104496068072,0.4811016545439457
Breta sǫgur-AM 573 4to,0.357499532624442,1.0658141036401503e-14,0.31360842139945033,0.4553162841658973,0.3109250574542056,0.40061183162094915,0.4188975112728701,0.38326307980572827,0.4635880197554707,0.2722123113736046,0.3959483511903763,0.39760315613070685,0.3668651346728786,0.5427782168973583,0.41020637907845847,0.3012963217979555,0.5806408097172228,0.5820793206263145,0.39886061772105996,0.3144611255714692,0.4847334711460194,0.2984133035912738,0.3506662626126793,0.18262625200845517,0.4001137901028793,0.36640642396250145,0.5158063144188527,0.5521162910468563,0.3985575718516128,0.4236882788944838,0.6741648122995949,0.32144133575968814,0.4798340612725267,0.325310004826442,0.5066624395629926,0.7436560511157995,0.33708422270240446,0.6454912850065306,0.48357650708265043,0.48290475328454396,0.46445275665836183,0.5487984623906601,0.4877957989878372,0.3120273233053127,0.6587073010954827,0.3101876781339957,0.3322430039635531,0.6721266649462332,0.3858419768264617,0.34377484800085956,0.7222319277569964,0.21104917529982958,0.1783539117160461,0.172421811774644,0.5935702674007037,0.6131757649576142,0.2702541601848677,0.37394985998436914,0.30755509362121414,0.3702856811767935,0.40985357616747786,0.5403440094522354,0.19576825236080786,0.5615196182187666,0.4872181079266624,0.22731607465230896,0.3623730628613965
Karls þáttr vesæla-AM 557 4to,0.4418560138071853,0.31360842139945033,8.215650382226158e-15,0.49055745659124506,0.41767818368179965,0.45989710317254484,0.48943239749452105,0.4317298734505718,0.5354226760954286,0.3374199395901034,0.47777643172951423,0.475086129899397,0.4404548341910176,0.6235393011114443,0.48254732999305394,0.41114356207116376,0.6407116465693278,0.6938038770423165,0.5245995687944278,0.452245642742938,0.5481343700432796,0.4091809741021496,0.4259739994767121,0.35156728119516023,0.4906905224210001,0.4586047957663859,0.6094056008727866,0.6235054537374276,0.5035522849700049,0.49360543785930944,0.7426294543965901,0.41320418438108075,0.5374581606810478,0.42718836441124175,0.60484390866013,0.7508776260567336,0.44491329075974595,0.6974802985757316,0.5762349373242794,0.5957944605801135,0.5550592023240215,0.60639275095586,0.5487083751635113,0.427168006819993,0.705063187342226,0.41396563809189857,0.42802839212975874,0.7078225434573913,0.49049622883953303,0.459199787566395,0.7917125934067374,0.36965663390980863,0.3055777973044156,0.2995171860462644,0.6276371045268446,0.6825096480107711,0.4305747040246566,0.44514606082045494,0.39512739057149304,0.43685716980906486,0.5152603762644413,0.6311643756734651,0.3376550785978262,0.49953585826230185,0.5937015695343151,0.3353016309110335,0.41554554410332245
Hróa þáttr heimska-AM 557 4to,0.5326622695996543,0.4553162841658973,0.49055745659124506,0.0,0.5645080643175988,0.5566497709362231,0.6032410416236968,0.5255007676448713,0.6182837159162788,0.45554808496353905,0.593507142357421,0.5870571985257456,0.5322285493997881,0.7031070052688708,0.580584395603382,0.5325587827061091,0.731257838956539,0.7500350764695938,0.6098008308365217,0.5718702492742809,0.6637926865415964,0.49957698919048665,0.5277994325256137,0.4817218271637661,0.5951825550022601,0.5691846907100361,0.6979561916481941,0.7205792879508269,0.5872264101127309,0.5855413966861294,0.77406223555213,0.529643355272347,0.6463134787568705,0.5369719341649428,0.6949634349989025,0.7911713530753399,0.5585160294675104,0.7564808676420274,0.6315727733202229,0.6950351297894155,0.6343950231389539,0.6754858722163837,0.6392155176726368,0.5214018435854337,0.7818491727593284,0.5285615177858919,0.5392372378308302,0.7672633391837597,0.5903121032022742,0.5827255777444753,0.8471129738187433,0.5015385781503061,0.45513327911875023,0.43729971663579825,0.685716564518283,0.7487437486019439,0.538926443094141,0.5698538631867303,0.4956802042999967,0.5458287591143786,0.6007002375146295,0.6920603321502473,0.4779085003859318,0.5899073400322754,0.6865114274321666,0.44839489926149667,0.5227090573007547
Old Norwegian Homily Book-AM 619 4to,0.48197283333512475,0.3109250574542056,0.41767818368179965,0.5645080643175988,0.0,0.5011317526525885,0.38680713083606066,0.43422100025195387,0.5615314280191395,0.3774564626542015,0.5111947081874879,0.4395374315477726,0.4908653091190327,0.64889518820023,0.5109213245697894,0.42796145446189593,0.6844452142442747,0.6705875978915222,0.47305297412626157,0.4359708933788663,0.5230805364799436,0.46601301474563905,0.4799295664122154,0.366450007423185,0.40084677136920355,0.42549818638681214,0.5423053457738665,0.628458889020638,0.5110888568195139,0.4459880540734539,0.7130766682229099,0.3792846190054163,0.5343838179724603,0.4609342349315346,0.5684159159917692,0.7636544223780906,0.47667145196858496,0.6575131886626583,0.5981050577158049,0.5193125368463236,0.579138354060782,0.6577614966911185,0.5839707720908325,0.45943810057221357,0.6015458515959267,0.4243192908310296,0.2950457011821903,0.7315418947582802,0.49938401385631603,0.4546331434185482,0.749016713053483,0.3676437598008466,0.34015806983084884,0.28871665733587204,0.6109939287229875,0.6417370430320626,0.4007526887876439,0.40398747879908337,0.4368153226296265,0.39331449358202886,0.5303753949403076,0.6180960506504778,0.347917588566396,0.6323073732021894,0.5454782083742371,0.375022765210021,0.4519241060233117
Theta-fragment of Egils saga-AM 162 A θ fol.,0.512078368262058,0.40061183162094915,0.45989710317254484,0.5566497709362231,0.5011317526525885,2.886579864025407e-15,0.5251546755064822,0.504897336702963,0.599247938844986,0.37632005618709974,0.5254260778321371,0.5410070543832178,0.5108092908004862,0.6808993030888031,0.5554947504772904,0.4905019281226878,0.6821827999034824,0.7244552819630421,0.5771457344513746,0.5145185842042053,0.6180890921812447,0.49043380064608666,0.510940335406877,0.4018524313683519,0.5431770126790282,0.52999997269273,0.65365862293726,0.6741410247588029,0.5676894457594281,0.534102432247445,0.7550251838278148,0.48560277334533086,0.6246216738952832,0.5015954336216408,0.6619593701590656,0.7844531551882042,0.3787024223998131,0.7131638584703921,0.6120940636466243,0.6489027673623309,0.6035038068746945,0.6606901776922863,0.6163589328409299,0.49984438000811215,0.7416304116566497,0.49878966696267957,0.49630316287510423,0.76600791217824,0.5706458048874365,0.5456094345714189,0.8263168799239395,0.45155266450183096,0.2669967832683745,0.3771263383712079,0.6580676159785868,0.7239875062018797,0.49145016202999114,0.5008627331417286,0.467288754082668,0.4837342472400652,0.5779446771836452,0.6580568843525623,0.4206051268201625,0.6090534968156868,0.6471534785927052,0.4162937677134806,0.46661200879687215
Prosper’s Epigrams-AM 677 4to,0.5578908136254814,0.4188975112728701,0.48943239749452105,0.6032410416236968,0.38680713083606066,0.5251546755064822,1.4432899320127035e-14,0.49575961618381525,0.6199359611664486,0.40644800844602047,0.5562500132875821,0.39683849619963285,0.5463577675017659,0.7265782600052714,0.5616803114068298,0.4847206788848396,0.750435002849529,0.7374831635830159,0.5352281347544803,0.5370057347228792,0.6075634487258296,0.5371318076916083,0.5529693586833314,0.4461967216533068,0.3694991765766227,0.42292916716537277,0.5740607133585623,0.6986280554252517,0.5629307035985369,0.43087569117178426,0.7610733472157587,0.3508210146609988,0.6268847131603177,0.5531667954913011,0.6617074874090896,0.7761140091626257,0.5202132379630882,0.63698644263931,0.6447794420361139,0.5870088888686185,0.6591298159542698,0.6874631272177563,0.6512131938283445,0.5220487145727336,0.5986470414284526,0.5062976300647886,0.2889190128053136,0.7915763627375503,0.5768086055683612,0.5732247686781277,0.8077356539757456,0.4678368735845221,0.4354461819944021,0.28829219778814175,0.6053276507969656,0.6421994309115839,0.47376110573644814,0.4081859779982556,0.46231607032659405,0.359374446409086,0.6570917788912495,0.5732857166909658,0.47687219323636476,0.6591880456288827,0.5947965354227406,0.42900765861674794,0.4684483213254925
Pamphilus saga-DG 4-7,0.4927267530450883,0.38326307980572827,0.4317298734505718,0.5255007676448713,0.43422100025195387,0.504897336702963,0.49575961618381525,0.0,0.5693622324694262,0.35162588923964866,0.5754412400040676,0.5175787446487178,0.5135062261294232,0.6928202912373864,0.5052761468033098,0.485228890486997,0.7306292624719355,0.7297691788659159,0.5749293064227066,0.5394623350790757,0.6210856027681095,0.4918051790671174,0.491246826177415,0.47439979155263157,0.5246263972335452,0.5127103666488918,0.5807285923891505,0.703010702466548,0.545823460880883,0.5171069084914046,0.7183414381189112,0.460416894544879,0.5944470653097845,0.508690110737877,0.5842960438967661,0.7266762390943761,0.5583452306873933,0.701421985070223,0.5899638995941228,0.5843986187866109,0.5800515734228016,0.6809377592466741,0.5809209438594455,0.49050608079216995,0.68562718222306,0.4865903859284225,0.39306036272205447,0.7517251250925208,0.5269549972962524,0.5049888663499935,0.7888884390083756,0.4071023803005508,0.4202613786949304,0.34905507529298907,0.6010751254935564,0.6795197880391123,0.48416454263925657,0.45898255947205424,0.46618370275777454,0.41145179263183795,0.5429949052176153,0.6776656913475458,0.42023652931475675,0.5947944473372406,0.582402285317579,0.3951439915871231,0.47332701850306547
Kormáks saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (120vb.21–129rb.7),0.5637946269252332,0.4635880197554707,0.5354226760954286,0.6182837159162788,0.5615314280191395,0.599247938844986,0.6199359611664486,0.5693622324694262,4.218847493575595e-15,0.47815297079915686,0.616226396223511,0.6133139061946973,0.5702635329993003,0.7116122490466936,0.6054870079538678,0.5422694500478448,0.7325990200155359,0.7473207029238926,0.6254947959468158,0.5550748281644766,0.6608533220587993,0.5304523211377676,0.5358899816712959,0.4929767668658481,0.6084735958921896,0.592558783319407,0.6758024602156076,0.7131441726827237,0.614674147182692,0.623829910946935,0.7745389884209503,0.5644942048963608,0.6683606977557552,0.5217856498503293,0.6921385987842888,0.8275747995116652,0.5563569089742735,0.7666482263343822,0.6694822736576307,0.6789430152451835,0.6388176844651811,0.7130828692687868,0.6619674895355163,0.5286751643031166,0.7757927391219213,0.5245381600434519,0.5717504338483272,0.7871983166837789,0.6070581732987941,0.5863170780479514,0.8372900025574709,0.501860601082511,0.46295431034035683,0.4686531728736337,0.734937504245049,0.7588945030039125,0.5485092246401415,0.5942891956936274,0.5568858908665673,0.585307293370565,0.5930326183668431,0.7070208530166134,0.4653499123157965,0.6888820467887599,0.6848785143170311,0.4577039115827113,0.553489545866417
Bandamanna saga according to AM 132 fol (Möðruvallabók)-AM 132 fol (114ra.41–120vb.21),0.4080810044448907,0.2722123113736046,0.3374199395901034,0.45554808496353905,0.3774564626542015,0.37632005618709974,0.40644800844602047,0.35162588923964866,0.47815297079915686,0.0,0.46376370422653457,0.4203075666031123,0.41314946383796214,0.6140066444334205,0.4339127243576705,0.3684006172797716,0.6530015914959738,0.6666513858058221,0.48370998564599543,0.4223430465871265,0.5519304430592085,0.3756468796225819,0.3807217946942961,0.33230727512339076,0.448995754664658,0.4148453410072548,0.5382113916403106,0.6126344116840412,0.4678183916442885,0.4288258770883384,0.7116237344735338,0.3601394600297235,0.546031439005502,0.3909568455030116,0.5642679082904675,0.7361480818389493,0.38220825492356303,0.6629775975505828,0.5412881518281702,0.5468755198806892,0.5120814603701916,0.5934587005798996,0.5336480907245591,0.3607072033488622,0.6645390583553104,0.3513306460314993,0.34462497909833556,0.7124658917758864,0.46009313494524207,0.4448977204861033,0.7706455746845575,0.3209155927596298,0.2574970092422937,0.2214935382356581,0.5913996698138961,0.6407028299248467,0.3867991498208099,0.38437787802753076,0.3662174852053539,0.34791471280927677,0.4610209200337998,0.6046843041077756,0.3039111472354379,0.5338314331246226,0.5501204734444762,0.24458122423737083,0.35182182482103097
The Kringla fragment of Óláfs saga helga-Lbs fragm. 82,0.5259469857449457,0.3959483511903763,0.47777643172951423,0.593507142357421,0.5111947081874879,0.5254260778321371,0.5562500132875821,0.5754412400040676,0.616226396223511,0.46376370422653457,1.5543122344752192e-15,0.5394967855316481,0.5231123257843451,0.677728855424997,0.5822639306142643,0.483887544187398,0.6520671665249674,0.7049183239685113,0.5766123714230547,0.509145066738871,0.6226071823260031,0.48975320055887817,0.5143415558740732,0.3763198711798874,0.5613034253010403,0.5291606313780625,0.6577157763462227,0.649378988795642,0.5654691850101105,0.5661214556441082,0.7732648429497098,0.4906842389615027,0.6161507350505878,0.5247833958517902,0.6837000203076997,0.8236292378726472,0.49204246021777986,0.7276301985671925,0.6408985189883021,0.6538884152354306,0.6281402190667562,0.6608994729269089,0.6020296089840793,0.5093940603609125,0.7494714503709312,0.5050384166671567,0.5246717481480645,0.7752810175847434,0.5697616941536685,0.5305129914259876,0.8254302093142244,0.4553025066881603,0.36364539137123186,0.3855728435574828,0.7086734075907672,0.7356437892245666,0.4983092603591275,0.5260506234330475,0.4704548686243294,0.5258725696032952,0.5726639580108459,0.6706644892033591,0.4329867941860013,0.6156820133090437,0.6578578643078685,0.4441399799721939,0.5114050136482444
A fragment of Landslǫg Magnúss Hákonarsonar-NRA norr fragm 7,0.5404532235725086,0.39760315613070685,0.475086129899397,0.5870571985257456,0.4395374315477726,0.5410070543832178,0.39683849619963285,0.5175787446487178,0.6133139061946973,0.4203075666031123,0.5394967855316481,1.4654943925052066e-14,0.5325006633390976,0.6976315416825465,0.5541801670283868,0.47860381381156913,0.721630421086042,0.7082068904187246,0.5318831376124843,0.5085789065112916,0.5908134097105819,0.5149270262611817,0.5319742720696214,0.4255145559565011,0.4814030118883754,0.21371879582338693,0.6045829042657029,0.6773903319560657,0.561505975636801,0.4697847956480329,0.7550292429303521,0.12950290990958668,0.6212074183933916,0.5355080890069507,0.6527999025759194,0.7900643261504644,0.5173010388278392,0.6836526277718051,0.6182532486993075,0.5836817766380801,0.6387723842561648,0.6753159924318003,0.6116761164605676,0.5127379441255973,0.6508852053555046,0.4986364184616887,0.3644483013019869,0.7784164535615616,0.536267947059986,0.5389106846348037,0.8117210661423351,0.44203465311451606,0.4089797094076707,0.319795031262195,0.6484732886436617,0.6340857998485159,0.47628173452890954,0.43532402319659436,0.46443352827063034,0.38890910340489715,0.5910163468353049,0.6536805376992195,0.45474534374385867,0.659782292740117,0.5897027379027466,0.42477946083086726,0.49009848144101975
Hallfreðr saga vandraskald-AM 557 4to,0.45768867341979724,0.3668651346728786,0.4404548341910176,0.5322285493997881,0.4908653091190327,0.5108092908004862,0.5463577675017659,0.5135062261294232,0.5702635329993003,0.41314946383796214,0.5231123257843451,0.5325006633390976,0.0,0.6589766021256609,0.5503629928233498,0.4664565397921888,0.6719671172474623,0.7023428302343855,0.5516800689534231,0.4800238280522736,0.6012452578813275,0.4457196914288104,0.11434584284960536,0.38945562958385094,0.5394157858205553,0.5106178116208884,0.6399299124073297,0.6542308011376414,0.5403876106822418,0.5420360840650198,0.7555981870141663,0.4748263737998578,0.5987482613414492,0.4713993621409157,0.6496504038947645,0.791065716139926,0.4723170802996508,0.7235826723695112,0.5924813190878152,0.6418352211425994,0.5845589264105014,0.6428302501373471,0.5948808805462761,0.4573815400896707,0.7508413713987048,0.4618531539136934,0.4858738764309656,0.7444565897943183,0.540301203071996,0.5195046270821152,0.8164877592560071,0.4175151797887334,0.35584912855644313,0.3691780603595489,0.668719192918694,0.7178633381940562,0.4652610207795801,0.5180263188959591,0.45128970588799944,0.5074955642287193,0.5392225196032058,0.6456332417882119,0.3878928918507333,0.5938886762883022,0.6351023301763279,0.38436810855339476,0.4679982490427702
Sveinka þáttr Steinarssonar-AM 557 4to,0.6503814351046833,0.5427782168973583,0.6235393011114443,0.7031070052688708,0.64889518820023,0.6808993030888031,0.7265782600052714,0.6928202912373864,0.7116122490466936,0.6140066444334205,0.677728855424997,0.6976315416825465,0.6589766021256609,2.1094237467877974e-15,0.6945079896295749,0.6289228273692271,0.7592913532969693,0.7476572747766244,0.678725832377056,0.6325441232748701,0.7351754403251267,0.6089548293404029,0.6444791768170782,0.5557454442490246,0.6909181100066839,0.6823008633501717,0.7437798303565155,0.74627892685949,0.6729509877883053,0.7146433233722881,0.8290735900936015,0.6539023913938199,0.7190174154750162,0.6365223507206341,0.7297922700617057,0.8697151594334442,0.6537766701672136,0.8274865021204084,0.7225680159557277,0.7358504332954177,0.7026476389912151,0.7454219326085499,0.7165293907960801,0.6279381224416818,0.8373744087976802,0.6311555872434531,0.6547153858088264,0.8184349506886308,0.6798600384032696,0.639824100537926,0.8483072208091311,0.5907599344721093,0.559217553791663,0.5710430379894151,0.7996784390444032,0.7957348577327911,0.6110334635998776,0.6948796502490013,0.6314605125748363,0.6887901013780112,0.6760289619136727,0.7557145288505513,0.5729794911728856,0.7535036491754217,0.7366425727464632,0.5922298416672359,0.6744324768857539
Valdimars saga-AM 557 4to,0.5341061569376213,0.41020637907845847,0.48254732999305394,0.580584395603382,0.5109213245697894,0.5554947504772904,0.5616803114068298,0.5052761468033098,0.6054870079538678,0.4339127243576705,0.5822639306142643,0.5541801670283868,0.5503629928233498,0.6945079896295749,1.1435297153639112e-14,0.49434222769815206,0.7171219103711386,0.7333146965248223,0.6040251965077825,0.5483052025240434,0.6372519904604417,0.517462015414756,0.5351147109523504,0.45467474654766526,0.5789193975417173,0.5443077470255526,0.6444761133256193,0.6985866043430677,0.5826936834628669,0.5777640225005322,0.7442926834137386,0.5001890634750812,0.6279962249321691,0.5215303875771938,0.6590945318835237,0.7974472983852857,0.5471303339204436,0.7439939995416921,0.6625168220498434,0.6261259229283218,0.6104030919827446,0.6783544186016413,0.636583111787387,0.5135325481046324,0.7361556330622636,0.5073652213373645,0.5141958203995224,0.7605476702860445,0.5720842138813239,0.5366208056648618,0.8089891742887091,0.44523106663575474,0.43633798575881466,0.39171507554621565,0.6982490847594982,0.7233417449425907,0.4985941708532243,0.5223485848008876,0.4946357359321689,0.5127569616268594,0.5987889916454889,0.697392834779542,0.4287603685526874,0.6374262088024417,0.6375401048123851,0.448928838843891,0.5397262691622661
A fragment of Óláfs saga helga hin elzta-NRA norr fragm 52,0.4510555831038716,0.3012963217979555,0.41114356207116376,0.5325587827061091,0.42796145446189593,0.4905019281226878,0.4847206788848396,0.485228890486997,0.5422694500478448,0.3684006172797716,0.483887544187398,0.47860381381156913,0.4664565397921888,0.6289228273692271,0.49434222769815206,0.0,0.6517470014150032,0.6533521102751669,0.5022548181671395,0.4374942954059209,0.5728482572768663,0.3997215753989555,0.4474859686011552,0.3267932809506954,0.49506484834900333,0.4605517257766949,0.5622270400123797,0.6313946518640963,0.49857241272857455,0.5030845658286028,0.7289732322099385,0.4206937349677419,0.5508039486054419,0.44274119617114027,0.612288924063697,0.7880002576734764,0.4403811456852271,0.6820959737736179,0.5822828355765873,0.5679044440562326,0.5599084297885168,0.6324209549222859,0.5679520150120954,0.4280266109039791,0.6768936641975525,0.4320945826973851,0.4339251467327072,0.7232730308149288,0.4966254665800448,0.45574867835485966,0.775466607422604,0.3486408483260237,0.31230865128357,0.2970732224743492,0.6701816299654264,0.6751485940789236,0.4161458841503728,0.46230679293457144,0.40975626341489235,0.46891425056133895,0.507105824917929,0.6232020965253842,0.34589080757922164,0.5967138682367137,0.5813436506485901,0.3555093032469945,0.46878963804834783
A fragment of Haralds saga harðráða in Heimskringla-NRA norr fragm 53,0.6671208761196791,0.5806408097172228,0.6407116465693278,0.731257838956539,0.6844452142442747,0.6821827999034824,0.750435002849529,0.7306292624719355,0.7325990200155359,0.6530015914959738,0.6520671665249674,0.721630421086042,0.6719671172474623,0.7592913532969693,0.7171219103711386,0.6517470014150032,7.771561172376096e-16,0.7787570274199289,0.715474821424421,0.6395510167274574,0.7488389180034738,0.6471605720115823,0.6646939372371812,0.5125048106424958,0.7275913913793581,0.7086569360570341,0.7639277021904274,0.7485844901084971,0.7027902884142903,0.7223954936181831,0.8471406813461833,0.6844586633962821,0.7394212574211837,0.6413922936530274,0.7810905483978154,0.885932688559426,0.6420467828012675,0.8255668861733116,0.7607962076494355,0.7746439928553042,0.7167967586067956,0.769812135550323,0.7459822256959732,0.6596915076890101,0.8556784104973848,0.6509424584642381,0.719710811909883,0.8320109167795003,0.7179794978867647,0.6783431487883269,0.8800102916103492,0.6166962263708595,0.5600290332673492,0.6058367349201745,0.8229568342527831,0.8375612587881585,0.6454063026555052,0.7132333337494519,0.6418858485366878,0.727286005285751,0.7011612787155259,0.7833730973626779,0.5854188079116686,0.7493564941901816,0.7741541750623927,0.6135877826463716,0.6715592186911418
A fragment of Fagrskinna-NRA norr fragm 51,0.6849612858258695,0.5820793206263145,0.6938038770423165,0.7500350764695938,0.6705875978915222,0.7244552819630421,0.7374831635830159,0.7297691788659159,0.7473207029238926,0.6666513858058221,0.7049183239685113,0.7082068904187246,0.7023428302343855,0.7476572747766244,0.7333146965248223,0.6533521102751669,0.7787570274199289,2.220446049250313e-16,0.6960331219684044,0.6422898945446838,0.7618350946890402,0.6524705546111735,0.6900397075949292,0.5758509057421399,0.7215188486561132,0.6964826938965627,0.7640443913362349,0.768649883485885,0.698270288957376,0.7230601783810124,0.8354693857992406,0.6695481658407199,0.7376924570794654,0.6745695979783317,0.7592662857385227,0.8895945807392406,0.6786475701972128,0.8266767468386089,0.7480197971180675,0.7410159640041577,0.7352735724814465,0.7856776389988316,0.7584446931699493,0.6728595899680239,0.8245921455486738,0.6735955804377587,0.6676839493099842,0.8337188349708617,0.7021525043061566,0.6733073260982043,0.8546040782134308,0.6160872228558416,0.6015502971813895,0.6117673362456955,0.8223802121339658,0.8050323725639797,0.6351436351495904,0.7137659333278481,0.6603894262383376,0.7221436888661503,0.7058308313323767,0.7878969891580772,0.6099736133446776,0.8083843384539787,0.7475325238023312,0.6364439395166837,0.7190795396024356
A fragment of Maríu saga-NRA norr fragm 78,0.5441089847348758,0.39886061772105996,0.5245995687944278,0.6098008308365217,0.47305297412626157,0.5771457344513746,0.5352281347544803,0.5749293064227066,0.6254947959468158,0.48370998564599543,0.5766123714230547,0.5318831376124843,0.5516800689534231,0.678725832377056,0.6040251965077825,0.5022548181671395,0.715474821424421,0.6960331219684044,7.771561172376096e-16,0.5053440333759555,0.6309836990260864,0.5016103365715736,0.5413781561212345,0.4281034372665009,0.5445612779557079,0.5275672546003719,0.6511709822466125,0.6850404828557164,0.5632177223895103,0.548569090689184,0.779133492648419,0.4832764601715476,0.6301234601815302,0.5315170881733842,0.6637829490183127,0.8151188139896596,0.5292044394900162,0.7209227452285183,0.6240496263128774,0.6228742474577034,0.6272543626728831,0.6809437234509669,0.6344814231289924,0.5118999457401412,0.7113054232882224,0.5159428447473775,0.47452368251852317,0.7704475583162589,0.5681702901097816,0.5468369984486111,0.8022458405988944,0.4538668672148124,0.4232913252328153,0.40008942731354724,0.6978802083277791,0.7120474218063564,0.4777961727237502,0.5431123623029426,0.5025074854335968,0.5314613899069295,0.5927096386542068,0.6628969947235768,0.44752986552592433,0.7036542469527465,0.6326955853398835,0.45086064930729497,0.5399428820791587
